States,2019,2020,2021,2022
Alabama,14.22,15.46,16.51,15.74
Alaska,8.09,9.53,10.18,10.10
Arizona,13.06,12.88,12.93,13.93
Arkansas,15.02,12.84,12.99,15.84
California,10.73,11.56,12.36,13.85
Colorado,8.22,8.47,8.01,9.48
Connecticut,10.65,11.34,11.45,11.53
Delaware,13.21,12.55,12.19,14.02
District of Columbia,10.18,9.18,9.74,9.31
Florida,12.04,10.30,,12.19
Georgia,12.31,12.35,13.01,13.07
Guam,13.25,14.51,13.04,23.72
Hawaii,10.82,10.07,9.48,11.39
Idaho,11.46,10.15,10.47,10.32
Illinois,12.12,11.37,11.51,12.75
Indiana,14.76,12.57,12.54,13.41
Iowa,10.91,10.95,11.65,12.84
Kansas,11.45,11.70,11.21,12.71
Kentucky,13.61,14.54,15.13,14.80
Louisiana,13.17,14.68,14.53,14.29
Maine,9.76,10.12,9.98,12.16
Maryland,11.32,10.90,11.01,12.98
Massachusetts,9.76,9.46,9.58,12.10
Michigan,11.73,11.86,11.05,11.86
Minnesota,9.93,10.87,10.96,11.50
Mississippi,15.29,15.79,15.41,15.43
Missouri,11.91,11.74,11.96,12.95
Montana,8.64,10.29,9.82,9.24
Nebraska,13.97,11.52,12.44,13.52
Nevada,11.51,11.58,11.93,10.51
New Hampshire,9.15,8.56,8.50,9.52
New Mexico,12.87,13.55,14.05,14.78
New York,11.32,12.70,13.48,13.20
North Carolina,13.67,13.11,13.21,13.14
North Dakota,11.91,12.87,11.83,11.53
Ohio,12.97,13.47,12.82,13.03
Oklahoma,13.36,13.92,14.08,13.75
Oregon,9.31,10.69,11.43,11.39
Pennsylvania,11.22,12.56,12.31,12.24
Puerto Rico,16.83,16.47,16.88,17.82
Rhode Island,11.82,11.09,11.56,12.18
South Carolina,13.88,13.75,13.97,13.31
South Dakota,12.25,11.02,12.55,10.49
Tennessee,14.84,15.57,14.76,15.98
Texas,12.39,13.46,12.34,13.74
United States,11.95,12.06,12.09,13.13
Utah,10.37,10.41,11.17,10.73
Vermont,8.70,8.17,8.59,9.99
Virginia,12.18,11.89,11.88,13.03
Washington,10.91,9.95,10.45,11.50
West Virginia,15.55,15.19,14.92,18.17
Wisconsin,11.00,10.03,11.47,11.16
Wyoming,9.07,9.63,10.46,11.03
New Jersey,,10.82,10.42,11.45
Virgin Islands,,17.02,15.39,15.88
