measure,location,sex,age,rei,year,val
YLDs (Years Lived with Disability),Alabama,Female,45-49 years,Diet high in processed meat,1990,71.56789883
YLDs (Years Lived with Disability),Alabama,Male,65-69 years,Diet high in processed meat,1990,316.4038621
YLDs (Years Lived with Disability),Alabama,Female,30-34 years,Diet low in vegetables,1990,0.087155992
YLDs (Years Lived with Disability),Alaska,Female,25-29 years,Diet low in whole grains,1990,1.600113627
YLDs (Years Lived with Disability),Alaska,Female,90-94 years,Diet high in red meat,1990,61.15367709
YLDs (Years Lived with Disability),Alaska,Male,45-49 years,Diet low in fiber,1990,5.576905292
YLDs (Years Lived with Disability),Arkansas,Female,30-34 years,Diet low in vegetables,1990,0.072015746
YLDs (Years Lived with Disability),California,Female,95+ years,Diet low in whole grains,1990,38.04542105
YLDs (Years Lived with Disability),Colorado,Male,70-74 years,Diet low in vegetables,1990,1.404174668
YLDs (Years Lived with Disability),Colorado,Female,30-34 years,Diet high in red meat,1990,4.221503347
YLDs (Years Lived with Disability),Colorado,Male,90-94 years,Diet low in fruits,1990,40.64952384
YLDs (Years Lived with Disability),Connecticut,Female,45-49 years,Diet high in processed meat,1990,52.16789106
YLDs (Years Lived with Disability),Connecticut,Female,95+ years,Diet high in sugar-sweetened beverages,1990,36.64144355
YLDs (Years Lived with Disability),Delaware,Male,55-59 years,Diet high in processed meat,1990,233.7374716
YLDs (Years Lived with Disability),Delaware,Female,80-84 years,Diet high in processed meat,1990,246.9667049
YLDs (Years Lived with Disability),Delaware,Male,25-29 years,Diet high in red meat,1990,1.987704098
YLDs (Years Lived with Disability),Delaware,Female,25-29 years,Diet low in fruits,1990,1.248181068
YLDs (Years Lived with Disability),Delaware,Male,70-74 years,Diet low in fiber,1990,21.87764546
YLDs (Years Lived with Disability),Delaware,Male,35-39 years,Diet low in vegetables,1990,0.151560352
YLDs (Years Lived with Disability),Florida,Female,80-84 years,Diet low in fruits,1990,40.2755925
YLDs (Years Lived with Disability),Florida,Male,90-94 years,Diet low in fruits,1990,34.85474472
YLDs (Years Lived with Disability),Georgia,Female,80-84 years,Diet low in whole grains,1990,56.59104285
YLDs (Years Lived with Disability),Georgia,Male,40-44 years,Diet low in fiber,1990,3.598387616
YLDs (Years Lived with Disability),Hawaii,Female,60-64 years,Diet low in fiber,1990,10.00309755
YLDs (Years Lived with Disability),Illinois,Male,90-94 years,Diet low in fruits,1990,26.65688327
YLDs (Years Lived with Disability),Iowa,Male,30-34 years,Diet high in red meat,1990,5.013184981
YLDs (Years Lived with Disability),Louisiana,Male,25-29 years,Diet high in processed meat,1990,4.133559016
YLDs (Years Lived with Disability),Louisiana,Male,65-69 years,Diet low in fruits,1990,53.62844027
YLDs (Years Lived with Disability),Maryland,Male,25-29 years,Diet high in red meat,1990,2.194927858
YLDs (Years Lived with Disability),Maryland,Male,25-29 years,Diet low in whole grains,1990,1.47333553
YLDs (Years Lived with Disability),Michigan,Female,35-39 years,Diet low in fruits,1990,3.958122121
YLDs (Years Lived with Disability),Minnesota,Male,60-64 years,Diet high in processed meat,1990,239.6516947
YLDs (Years Lived with Disability),Missouri,Male,40-44 years,Diet low in fiber,1990,2.933207972
YLDs (Years Lived with Disability),Missouri,Female,35-39 years,Diet low in vegetables,1990,0.131930049
YLDs (Years Lived with Disability),Missouri,Female,60-64 years,Diet low in vegetables,1990,1.299794891
YLDs (Years Lived with Disability),Montana,Male,35-39 years,Diet high in red meat,1990,9.667475887
YLDs (Years Lived with Disability),Montana,Female,55-59 years,Diet high in sugar-sweetened beverages,1990,49.47791696
YLDs (Years Lived with Disability),Montana,Female,95+ years,Diet high in processed meat,1990,115.6635354
YLDs (Years Lived with Disability),Montana,Female,80-84 years,Diet high in red meat,1990,104.2706087
YLDs (Years Lived with Disability),Nebraska,Male,30-34 years,Diet low in whole grains,1990,2.965555711
YLDs (Years Lived with Disability),Nevada,Female,80-84 years,Diet high in red meat,1990,87.60164352
YLDs (Years Lived with Disability),New Jersey,Male,40-44 years,Diet high in processed meat,1990,39.51760023
YLDs (Years Lived with Disability),New Mexico,Male,85-89 years,Diet low in fruits,1990,34.0146412
YLDs (Years Lived with Disability),New York,Female,50-54 years,Diet low in vegetables,1990,0.564877014
YLDs (Years Lived with Disability),New York,Male,65-69 years,Diet high in red meat,1990,119.713644
YLDs (Years Lived with Disability),North Dakota,Male,70-74 years,Diet high in red meat,1990,163.8737076
YLDs (Years Lived with Disability),Ohio,Male,25-29 years,Diet low in whole grains,1990,1.439963567
YLDs (Years Lived with Disability),Oklahoma,Female,70-74 years,Diet high in sugar-sweetened beverages,1990,73.48460538
YLDs (Years Lived with Disability),Oregon,Male,85-89 years,Diet low in fiber,1990,16.76120929
YLDs (Years Lived with Disability),Pennsylvania,Male,60-64 years,Diet high in processed meat,1990,262.0586134
YLDs (Years Lived with Disability),Pennsylvania,Female,30-34 years,Diet low in fiber,1990,0.763261406
YLDs (Years Lived with Disability),Rhode Island,Male,35-39 years,Diet high in sugar-sweetened beverages,1990,10.38895384
